"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"hardevidence","Provide evidence of infidelity",Poskytnete důkazy o nevěře,,,,"11:49 05/09/2022"
"cheatersname","Discover the full name of the partner's paramour",Zjistěte celé jméno partnerova milence.,,,,"11:49 05/09/2022"
"investigateaffair","Investigate Infidelity",Vyšetřování nevěry,,,,"11:49 05/09/2022"
"handin","Submit evidence: Call |poster.home.telephone| or find the poster in-person",Předložte důkazy: Zavolejte |poster.home.telephone| nebo vyhledejte plakát osobně.,,,,"11:49 05/09/2022"
"corporatesabotage","Corporate Sabotage",Firemní sabotáž,,,,"11:49 05/09/2022"
"sabotagerecoverinfo","Find the envelope with the red seal: It belongs to somebody at |purp.job.employer.name| with a name beginning with '|purp.initial|'",Najdete obálku s červenou pečetí: Patří někomu na adrese |purp.job.employer.name| se jménem začínajícím na '|purp.initial|'.,,,,"11:49 05/09/2022"
"provide the requested item","Provide the requested item",Poskytněte požadovanou položku,,,,"11:49 05/09/2022"
"can you provide evidence of infidelity?","Can you provide evidence of infidelity?",Můžete předložit důkazy o nevěře?,,,,"11:49 05/09/2022"
"where does the cheater live?","Where does the cheater live?","Kde žije ten, kdo podvádí?",,,,"11:49 05/09/2022"
"optional","Optional",Volitelně,,,,"11:49 05/09/2022"
"what is the full name of the killer?","What is the full name of the killer?",Jaké je celé jméno vraha?,,,,"11:49 05/09/2022"
"have you arrested the killer? if so, what is their present location?","Have you arrested the killer? If so, what is their present location?","Zatkli jste vraha? Pokud ano, kde se nyní nachází?",,,,"11:49 05/09/2022"
"where does the killer live?","Where does the killer live?",Kde vrah žije?,,,,"11:49 05/09/2022"
"if applicable, who is the killer's next target?","If applicable, who is the killer's next target?",Kdo je případně dalším cílem vraha?,,,,"11:49 05/09/2022"
"have you located the murder weapon?","Have you located the murder weapon?",Našli jste vražednou zbraň?,,,,"11:49 05/09/2022"
"reward","Reward",Odměna,,,,"11:49 05/09/2022"
"penalty","Penalty",Trest,,,,"11:49 05/09/2022"
"do you have evidence that places the killer at a crime scene?","Do you have evidence that places the killer at a crime scene?","Máte důkazy, které usvědčují vraha na místě činu?",,,,"11:49 05/09/2022"
"complete the hand in form","Complete the questions in the resolution form",Vyplňte otázky ve formuláři usnesení,,,,"11:49 05/09/2022"
"who is the poster's partner cheating with?","Who is the poster's partner cheating with?",S kým podvádí partnerka plakátu?,,,,"11:49 05/09/2022"
"submit case","Submit resolution form to City Hall",Odeslání formuláře usnesení na radnici,,,,"11:49 05/09/2022"
"case processing","Case processing...",Zpracování pripadu...,,,,"11:49 05/09/2022"
"collect hand in","Collect a murder case resolution form from City Hall",Vyzvedněte si na radnici formulář pro vyřešení případu vraždy.,,,,"11:49 05/09/2022"
"explore reported crime scene","Explore Reported Crime Scene: ",Prozkoumejte nahlášené místo činu:,,,,"11:49 05/01/2023"
"have you located the stolen item?","Have you located the stolen item?",Našli jste ukradený předmět?,,,,"11:49 05/09/2022"
"stolenitem","Stolen Item",Odcizený předmět,,,,"11:49 05/09/2022"
"who stole my |stolenitem.name|?","Who stole my |stolenitem.name|?",Kdo mi ukradl |stolenitem.name|?,,,,"11:49 05/09/2022"
"uncover evidence as to the whereabouts of |purp.name|","Uncover evidence as to the whereabouts of |purp.name|","Odhalte důkazy o tom, kde se nachází |purp.name|",,,,"11:49 05/09/2022"
"uncover evidence as to why they are missing","Uncover evidence as to why they are missing","Odhalte důkazy o tom, proč jsou nezvěstní.",,,,"11:49 05/09/2022"
"where was the last known whereabouts of |purp.name|?","Where was the last known whereabouts of |purp.name|?",Kde se naposledy nacházel |purp.name|?,,,,"11:49 05/09/2022"
"missingperson","Missing Person",Pohřešovaná osoba,,,,"11:49 05/09/2022"
"submit case sidejob","To conclude, post findings under the door at |submission.name|",Na závěr zveřejněte zjištění pod dveřmi na adrese |submission.name|,,,,"11:49 05/09/2022"
"vandalismfindhomeaddress","Vandalism",Vandalismus,,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name|.","Cause Cr|revengeamount| of vandalism at |purp.home.name|",Příčina Cr|revengeamount| vandalismu na |purp.home.name|,,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name|.","Cause Cr|revengeamount| of vandalism at the home of |purp.name|",Příčina Cr|revengeamount| vandalismu v domě |purp.name|,,,,"11:49 05/09/2022"
"where does |purp.name| live?","Where does |purp.name| live?",Kde žije |purp.name|?,,,,"11:49 05/09/2022"
"take a photo of the damage","Take a photo of the damage",Pořiďte fotografii poškození,,,,"11:49 05/09/2022"
