"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"candor-modelcitizen","Model Citizen",Vzorný občan,,,,"11:49 05/09/2022"
"starch-sugardaddy","Sugar Daddy",Sugar Daddy,,,,"11:49 05/09/2022"
"kensington-spartaninsuranceschemes","Spartan Insurance",Spartan pojištění,,,,"11:49 05/09/2022"
"blackmarket-infiltrator","Infiltrator",Infiltrátor,,,,"11:49 05/09/2022"
"blackmarket-interceptor","Interceptor",Interceptor,,,,"11:49 05/09/2022"
"blackmarket-trespasser","Trespasser",Narušitel,,,,"11:49 05/09/2022"
"candor-cartographer","Cartographer",Kartograf,,,,"11:49 05/09/2022"
"candor-community","Community",Společenství,,,,"11:49 05/09/2022"
"candor-publicservice","Public Service",Veřejná služba,,,,"11:49 05/09/2022"
"elgen-beauty","Beauty",Krása,,,,"11:49 05/09/2022"
"elgen-constitution","Constitution",Ustává,,,,"11:49 05/09/2022"
"elgen-frame","Frame",Rám,,,,"11:49 05/09/2022"
"elgen-physique","Physique",Physique,,,,"11:49 05/09/2022"
"elgen-tenacity","Tenacity",Houževnatost,,,,"11:49 05/09/2022"
"elgen-vigor","Vigor",Vigor,,,,"11:49 05/09/2022"
"kaizen-V-Loveplus","Dove+",Holubice+,,,,"11:49 05/09/2022"
"kensington-ambassadorscheme","Ambassador Scheme",Program velvyslanců,,,,"11:49 05/09/2022"
"starch-brandambassador","Starch Brand Ambassador",Ambasador značky Starch,,,,"11:49 05/09/2022"
"increase time citizens are knocked out by |value%|%","Increase time citizens are knocked out by |value%|%",Zvýšení času vyřazení občanů o |value%|%,,,,"11:49 05/09/2022"
"or","OR",NEBO,,,,"11:49 05/09/2022"
"increase time security systems are disabled by breaker switches by |value%|%","Increase time security systems are disabled by breaker switches by |value%|%","Zvýšení doby, po kterou jsou bezpečnostní systémy vypnutý vypínači, o |value%|%",,,,"11:49 05/09/2022"
"gain |city.currency||value| for tying address information to citizen names","Gain |city.currency||value| for tying address information to citizen names",Zisk |city.currency||value| pro vazbu informaci o adrese na jména občanů,,,,"11:49 05/09/2022"
"gain |city.currency||value| for gathering citizen passcodes","Gain |city.currency||value| for gathering citizen passcodes",Zisk |city.currency||value| pro shromažďování přístupových kódů občanů,,,,"11:49 05/09/2022"
"increase speed of lockpicking by |value%|%","Increase speed of lockpicking by |value%|%",Zvýšení rychlosti lockpickingu o |value%|%,,,,"11:49 05/09/2022"
"increase efficiency of lockpicking by |value%|%, resulting in needing fewer lockpicks","Increase efficiency of lockpicking by |value%|%, resulting in needing fewer lockpicks","Zvýšení účinnosti páčení zámků o |value%|%, což povede k menší potřebě páček na zámky",,,,"11:49 05/09/2022"
"entering the lockpicking stance only no longer counts as an illegal action","Entering the lockpicking stance only no longer counts as an illegal action",Vstup pouze do pozice lockpickera se již nepovažuje za nelegální akci.,,,,"11:49 05/09/2022"
"recieve |city.currecy||value| for exploring new locations","Recieve |city.currecy||value| for exploring new locations",Získat |city.currecy||value| za prozkoumání nových míst,,,,"11:49 05/09/2022"
"recieve |city.currecy||value| for exploring ventilation ducts","Recieve |city.currecy||value| for exploring ventilation ducts",Získat |city.currecy||value| pro průzkum větracích kanálů,,,,"11:49 05/09/2022"
"recieve |value%|% more money for completing side jobs","Recieve |value%|% more money for completing side jobs",Získejte |value%|% více peněz za plnění vedlejších úkolů,,,,"11:49 05/09/2022"
"increase inventory capacity by |value|","Increase inventory capacity by |value|",Zvýšení kapacity zásob o |value|,,,,"11:49 05/09/2022"
"earn |city.currency||value| for each item of trash disposed in refuse containers around the city","Earn |city.currency||value| for each item of trash disposed in refuse containers around the city",Získejte |city.currency||value| za každou položku odpadů vyhozenou do kontejneru na odpadky ve městě.,,,,"11:49 05/09/2022"
"earn |city.currency||value| for each unique book read","Earn |city.currency||value| for each unique book read",Vydělejte |city.currency||value| za každou přečtenou knihu,,,,"11:49 05/09/2022"
"earn up to |city.currency||value| for photographs of restaurant kitchens. value decreases with hygeine level, max 1 photo per company per day.","Earn up to |city.currency||value| for photographs of restaurant kitchens. Value decreases with hygeine level, max 1 photo per company per day.","Získejte až |city.currency||value| za fotografie kuchyní restaurací. Hodnota se snižuje s úrovní hygieny, maximálně 1 fotografie na podnik za den.",,,,"11:49 05/09/2022"
"earn up to |city.currency||value| for photographs of business bathrooms. value decreases with hygeine level, max 1 photo per company per day.","Earn up to |city.currency||value| for photographs of business bathrooms. Value decreases with hygeine level, max 1 photo per company per day.","Získejte až |city.currency||value| za fotografie firemních koupelen. Hodnota se snižuje s úrovní hygieny, maximálně 1 fotografie na podnik za den.",,,,"11:49 05/09/2022"
