"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"key","Acquired key for","Ziskany klic pro",,,,"11:49 05/09/2022"
"tutorial_notebook","You can access game help at any time with |controls.notebook|","Napovedu ke hre muzete kdykoli otevrit pomoci |controls.notebook|",,,,"11:49 05/09/2022"
"lockpicks","Lock-pick(s)","Lock-picky",,,,"11:49 05/09/2022"
"lockpick_deplete","Lock-pick(s) remaining...","Zbyvajici lock-picky...",,,,"11:49 05/09/2022"
"not_enough_lockpicks","You have no lock-picks!","Nemate zadne lock-picky!",,,,"11:49 05/09/2022"
"lockpick_success","Successful lock-pick!","Uspesne prolomeni zamku!",,,,"11:49 05/09/2022"
"taken_fingerprint","Fingerprint Taken","Odebrani otisku prstu",,,,"11:49 05/09/2022"
"corpsabotage_fail","Sabotage Failed: You have already installed a key-logger here!","Sabotaz se nezdarila: Zde jste jiz nainstalovali key-logger!",,,,"11:49 05/09/2022"
"codebreaker success","Codebreaker Success!","Uspesny lustitel kodu!",,,,"11:49 05/09/2022"
"telephone engaged","Telephone is engaged. Try again later...","Telefon je zapnuty. Zkuste to pozdeji...",,,,"11:49 05/09/2022"
"linked unique information","Profile Update","Aktualizace profilu",,,,"11:49 05/09/2022"
"name","Name","Nazev",,,,"11:49 05/09/2022"
"image/likeness","Image/Likeness","Obrazek/podoba",,,,"11:49 05/09/2022"
"fingerprint","Fingerprint","Otisk prstu",,,,"11:49 05/09/2022"
"new tutorial section","New Tutorial Section","Nova sekce vyukovych programu",,,,"11:49 05/09/2022"
"inventory full","Inventory Full! Drop something to pick this up...","Inventar je plny! Zahodte neco, abyste si to mohli vyzvednout...",,,,"11:49 05/09/2022"
"passcode","Passcode Acquired","Ziskany pristupovy kod",,,,"11:49 05/09/2022"
"ko","Passed out... You will awaken soon...","Omdlel... Brzy se probudis...",,,,"11:49 05/09/2022"
"added to inventory","Added to inventory","Pridano do inventare",,,,"11:49 05/09/2022"
"telephone","Telephone number acquired","Ziskane telefonni cislo",,,,"11:49 05/09/2022"
"closing time","Closing time","Cas ukonceni",,,,"11:49 05/09/2022"
"collected handin","Collected form","Sebrany formular",,,,"11:49 05/09/2022"
"case submitted","Case submitted for processing. Please wait for results.","Pripad predan ke zpracovani. Pockejte prosim na vysledky.",,,,"11:49 05/09/2022"
"case unsolved","The case remains unsolved, please try again...","Pripad zustava nevyresen, zkuste to prosim znovu...",,,,"11:49 05/09/2022"
"case completed","Solved","Vyreseno",,,,"11:49 05/09/2022"
"tip-changelead","Tip: You can change the lead at any time by using the button in the case resolution form.","Tip: Vedouciho muzete kdykoli zmenit pomoci tlacitka ve formulari pro reseni pripadu.",,,,"11:49 05/09/2022"
"suspect released","Suspect Released","Podezrely propusten",,,,"11:49 05/09/2022"
"suspect convicted","Suspect Convicted","Podezrely odsouzen",,,,"11:49 05/09/2022"
"new enforcer call","[Scanner] Reported Murder","[Scanner] Nahlasena vrazda",,,,"11:49 05/09/2022"
"corpsabotage_success","Success","Uspech",,,,"11:49 05/09/2022"
"somebody is coming to answer the door...","Somebody is coming to answer the door...","Nekdo jde otevrit dvere...",,,,"11:49 05/09/2022"
"job information updated!","Job information updated!","Aktualizovane informace o pracovnich mistech!",,,,"11:49 05/09/2022"
"linked to","Linked to","Souvisi s",,,,"11:49 05/09/2022"
"new information","New Information","Nove informace",,,,"11:49 05/09/2022"
"you can open your case board at any time by pressing f","You can open your case board at any time with |controls.caseboard|","Desku s pripady muzete kdykoli otevrit pomoci |controls.caseboard|",,,,"11:49 05/09/2022"
"the demo timer starts now...","The demo timer starts now...","Casovac demoverze zacina...",,,,"11:49 05/09/2022"
"corpsabotage_success_bonus","Ownership Bonus","Bonus za vlastnictvi",,,,"11:49 05/09/2022"
"case closed","Case Closed","Pripad uzavren",,,,"11:49 05/09/2022"
"unsolved","Unsolved","Nevyresene",,,,"11:49 05/09/2022"
"social credit score","Social Credit Score","Socialni kreditni skore",,,,"11:49 05/09/2022"
"new murder case","New Murder Case","Novy pripad vrazdy",,,,"11:49 05/09/2022"
"case opened","Case Opened","Otevreny pripad",,,,"11:49 05/09/2022"
"the case of the ","The case of the ","Pripad",,,,"11:49 05/09/2022"
"movement alert","Movement Alert","Upozorneni na pohyb",,,,"11:49 05/09/2022"
"tracking citizen...","Tracking citizen...","Sledovani obcanu...",,,,"11:49 05/09/2022"
"social credit level up","Social Credit Level Up","Zvyseni urovne socialniho kreditu",,,,"11:49 05/09/2022"
"gained social credit","Gained social credit","Ziskany spolecensky kredit",,,,"11:49 05/09/2022"
