"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"hardevidence","Provide evidence of infidelity","Poskytnete dukazy o nevere",,,,"11:49 05/09/2022"
"cheatersname","Discover the full name of the partner's paramour","Zjistete cele jmeno partnerova milence.",,,,"11:49 05/09/2022"
"investigateaffair","Investigate Infidelity","Vysetrovani nevery",,,,"11:49 05/09/2022"
"handin","Submit evidence: Call |poster.home.telephone| or find the poster in-person","Predlozte dukazy: Zavolejte |poster.home.telephone| nebo vyhledejte plakat osobne.",,,,"11:49 05/09/2022"
"corporatesabotage","Corporate Sabotage","Firemni sabotaz",,,,"11:49 05/09/2022"
"sabotagerecoverinfo","Find the envelope with the red seal: It belongs to somebody at |purp.job.employer.name| with a name beginning with '|purp.initial|'","Najdete obalku s cervenou peceti: Patri nekomu na adrese |purp.job.employer.name| se jmenem zacinajicim na '|purp.initial|'.",,,,"11:49 05/09/2022"
"provide the requested item","Provide the requested item","Poskytnete pozadovanou polozku",,,,"11:49 05/09/2022"
"can you provide evidence of infidelity?","Can you provide evidence of infidelity?","Muzete predlozit dukazy o nevere?",,,,"11:49 05/09/2022"
"where does the cheater live?","Where does the cheater live?","Kde zije ten, kdo podvadi?",,,,"11:49 05/09/2022"
"optional","Optional","Volitelne",,,,"11:49 05/09/2022"
"what is the full name of the killer?","What is the full name of the killer?","Jake je cele jmeno vraha?",,,,"11:49 05/09/2022"
"have you arrested the killer? if so, what is their present location?","Have you arrested the killer? If so, what is their present location?","Zatkli jste vraha? Pokud ano, kde se nyni nachazi?",,,,"11:49 05/09/2022"
"where does the killer live?","Where does the killer live?","Kde vrah zije?",,,,"11:49 05/09/2022"
"if applicable, who is the killer's next target?","If applicable, who is the killer's next target?","Kdo je pripadne dalsim cilem vraha?",,,,"11:49 05/09/2022"
"have you located the murder weapon?","Have you located the murder weapon?","Nasli jste vrazednou zbran?",,,,"11:49 05/09/2022"
"reward","Reward","Odmena",,,,"11:49 05/09/2022"
"penalty","Penalty","Trest",,,,"11:49 05/09/2022"
"do you have evidence that places the killer at a crime scene?","Do you have evidence that places the killer at a crime scene?","Mate dukazy, ktere usvedcuji vraha na miste cinu?",,,,"11:49 05/09/2022"
"complete the hand in form","Complete the questions in the resolution form","Vyplnte otazky ve formulari usneseni",,,,"11:49 05/09/2022"
"who is the poster's partner cheating with?","Who is the poster's partner cheating with?","S kym podvadi partnerka plakatu?",,,,"11:49 05/09/2022"
"submit case","Submit resolution form to City Hall","Odeslani formulare usneseni na radnici",,,,"11:49 05/09/2022"
"case processing","Case processing...","Zpracovani pripadu...",,,,"11:49 05/09/2022"
"collect hand in","Collect a murder case resolution form from City Hall","Vyzvednete si na radnici formular pro vyreseni pripadu vrazdy.",,,,"11:49 05/09/2022"
"explore reported crime scene","Explore Reported Crime Scene: ","Prozkoumejte nahlasene misto cinu:",,,,"11:49 05/01/2023"
"have you located the stolen item?","Have you located the stolen item?","Nasli jste ukradeny predmet?",,,,"11:49 05/09/2022"
"stolenitem","Stolen Item","Odcizeny predmet",,,,"11:49 05/09/2022"
"who stole my |stolenitem.name|?","Who stole my |stolenitem.name|?","Kdo mi ukradl |stolenitem.name|?",,,,"11:49 05/09/2022"
"uncover evidence as to the whereabouts of |purp.name|","Uncover evidence as to the whereabouts of |purp.name|","Odhalte dukazy o tom, kde se nachazi |purp.name|",,,,"11:49 05/09/2022"
"uncover evidence as to why they are missing","Uncover evidence as to why they are missing","Odhalte dukazy o tom, proc jsou nezvestni.",,,,"11:49 05/09/2022"
"where was the last known whereabouts of |purp.name|?","Where was the last known whereabouts of |purp.name|?","Kde se naposledy nachazel |purp.name|?",,,,"11:49 05/09/2022"
"missingperson","Missing Person","Pohresovana osoba",,,,"11:49 05/09/2022"
"submit case sidejob","To conclude, post findings under the door at |submission.name|","Na zaver zverejnete zjisteni pod dvermi na adrese |submission.name|",,,,"11:49 05/09/2022"
"vandalismfindhomeaddress","Vandalism","Vandalismus",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name|.","Cause Cr|revengeamount| of vandalism at |purp.home.name|","Pricina Cr|revengeamount| vandalismu na |purp.home.name|",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name|.","Cause Cr|revengeamount| of vandalism at the home of |purp.name|","Pricina Cr|revengeamount| vandalismu v dome |purp.name|",,,,"11:49 05/09/2022"
"where does |purp.name| live?","Where does |purp.name| live?","Kde zije |purp.name|?",,,,"11:49 05/09/2022"
"take a photo of the damage","Take a photo of the damage","Poridte fotografii poskozeni",,,,"11:49 05/09/2022"
