"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"key","Acquired key for",Získaný klíč pro,,,,"11:49 05/09/2022"
"tutorial_notebook","You can access game help at any time with |controls.notebook|",Nápovědu ke hře můžete kdykoli otevřít pomocí |controls.notebook|,,,,"11:49 05/09/2022"
"lockpicks","Lock-pick(s)",Lock-picky,,,,"11:49 05/09/2022"
"lockpick_deplete","Lock-pick(s) remaining...",Zbývající lock-picky...,,,,"11:49 05/09/2022"
"not_enough_lockpicks","You have no lock-picks!",Nemáte žádné lock-picky!,,,,"11:49 05/09/2022"
"lockpick_success","Successful lock-pick!",Úspěšné prolomení zámku!,,,,"11:49 05/09/2022"
"taken_fingerprint","Fingerprint Taken",Odebrání otisků prstů,,,,"11:49 05/09/2022"
"corpsabotage_fail","Sabotage Failed: You have already installed a key-logger here!",Sabotáž se nezdařila: Zde jste již nainstalovali key-logger!,,,,"11:49 05/09/2022"
"codebreaker success","Codebreaker Success!",Úspěšný luštitel kódu!,,,,"11:49 05/09/2022"
"telephone engaged","Telephone is engaged. Try again later...",Telefon je zapnutý. Zkuste to pozdeji...,,,,"11:49 05/09/2022"
"linked unique information","Profile Update",Aktualizace profilu,,,,"11:49 05/09/2022"
"name","Name",Název,,,,"11:49 05/09/2022"
"image/likeness","Image/Likeness",Obrazek/podoba,,,,"11:49 05/09/2022"
"fingerprint","Fingerprint",Otisk prstu,,,,"11:49 05/09/2022"
"new tutorial section","New Tutorial Section",Nová sekce výukových programů,,,,"11:49 05/09/2022"
"inventory full","Inventory Full! Drop something to pick this up...","Inventář je plný! Zahoďte něco, abyste si to mohli vyzvednout...",,,,"11:49 05/09/2022"
"passcode","Passcode Acquired",Získaný přístupový kód,,,,"11:49 05/09/2022"
"ko","Passed out... You will awaken soon...",Omdlel... Brzy se probudis...,,,,"11:49 05/09/2022"
"added to inventory","Added to inventory",Přidáno do inventáře,,,,"11:49 05/09/2022"
"telephone","Telephone number acquired",Získané telefonní číslo,,,,"11:49 05/09/2022"
"closing time","Closing time",Čas ukončení,,,,"11:49 05/09/2022"
"collected handin","Collected form",Sebraný formulář,,,,"11:49 05/09/2022"
"case submitted","Case submitted for processing. Please wait for results.",Případ předán ke zpracování. Počkejte prosím na výsledky.,,,,"11:49 05/09/2022"
"case unsolved","The case remains unsolved, please try again...","Případ zůstává nevyřešen, zkuste to prosím znovu...",,,,"11:49 05/09/2022"
"case completed","Solved",Vyřešeno,,,,"11:49 05/09/2022"
"tip-changelead","Tip: You can change the lead at any time by using the button in the case resolution form.",Tip: Vedoucího můžete kdykoli změnit pomocí tlačítka ve formuláři pro řešení případů.,,,,"11:49 05/09/2022"
"suspect released","Suspect Released",Podezřelý propuštěn,,,,"11:49 05/09/2022"
"suspect convicted","Suspect Convicted",Podezřelý odsouzen,,,,"11:49 05/09/2022"
"new enforcer call","[Scanner] Reported Murder",[Scanner] Nahlášena vražda,,,,"11:49 05/09/2022"
"corpsabotage_success","Success",Úspěch,,,,"11:49 05/09/2022"
"somebody is coming to answer the door...","Somebody is coming to answer the door...",Někdo jde otevřít dvere...,,,,"11:49 05/09/2022"
"job information updated!","Job information updated!",Aktualizované informace o pracovních místech!,,,,"11:49 05/09/2022"
"linked to","Linked to",Souvisí s,,,,"11:49 05/09/2022"
"new information","New Information",Nové informace,,,,"11:49 05/09/2022"
"you can open your case board at any time by pressing f","You can open your case board at any time with |controls.caseboard|",Desku s případy můžete kdykoli otevřít pomocí |controls.caseboard|,,,,"11:49 05/09/2022"
"the demo timer starts now...","The demo timer starts now...",Časovač demoverze zacina...,,,,"11:49 05/09/2022"
"corpsabotage_success_bonus","Ownership Bonus",Bonus za vlastnictví,,,,"11:49 05/09/2022"
"case closed","Case Closed",Případ uzavřen,,,,"11:49 05/09/2022"
"unsolved","Unsolved",Nevyřešené,,,,"11:49 05/09/2022"
"social credit score","Social Credit Score",Sociální kreditní skóre,,,,"11:49 05/09/2022"
"new murder case","New Murder Case",Nový případ vraždy,,,,"11:49 05/09/2022"
"case opened","Case Opened",Otevřený případ,,,,"11:49 05/09/2022"
"the case of the ","The case of the ",Případ,,,,"11:49 05/09/2022"
"movement alert","Movement Alert",Upozornění na pohyb,,,,"11:49 05/09/2022"
"tracking citizen...","Tracking citizen...",Sledování obcanu...,,,,"11:49 05/09/2022"
"social credit level up","Social Credit Level Up",Zvýšení úrovně sociálního kreditu,,,,"11:49 05/09/2022"
"gained social credit","Gained social credit",Získaný společenský kredit,,,,"11:49 05/09/2022"
"social credit","Social credit",Sociální úvěr,,,,"11:49 05/09/2022"
