"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"male","male",muž,,,,"11:48 05/09/2022"
"average","average",průměr,,,,"11:48 05/09/2022"
"black","black hair",černé vlasy,,,,"11:48 05/09/2022"
"shorthair","short",krátký,,,,"11:48 05/09/2022"
"greeneyes","green eyes",zelené oči,,,,"11:48 05/09/2022"
"adult","adult",pro dospělé,,,,"11:48 05/09/2022"
"he","he",on,,,,"11:48 05/09/2022"
"him","him",ho,,,,"11:48 05/09/2022"
"his","his",jeho,,,,"11:48 05/09/2022"
"female","female",žena,,,,"11:48 05/09/2022"
"brown","brown hair",hnědé vlasy,,,,"11:48 05/09/2022"
"longhair","long",dlouhé vlasy,,,,"11:48 05/09/2022"
"she","she",ona,,,,"11:48 05/09/2022"
"her","her",její,,,,"11:48 05/09/2022"
"her_F","",její,"",,"","10:31 01/12/2022"
"skinny","skinny",hubeny,,,,"11:48 05/09/2022"
"blueeyes","blue eyes",modré oči,,,,"11:48 05/09/2022"
"overweight","large",nadváha,,,,"11:48 12/12/2022"
"red","red hair",červené vlasy,,,,"11:48 05/09/2022"
"tall","tall",vysoký,,,,"11:48 05/09/2022"
"blonde","blonde hair",blond vlasy,,,,"11:48 05/09/2022"
"browneyes","brown eyes",hnědé oči,,,,"11:48 05/09/2022"
"purple","purple hair",fialové vlasy,,,,"11:48 05/09/2022"
"nonbinary","Non-binary",Nebinární,,,,"11:48 05/09/2022"
"bald","bald",plesy,,,,"11:48 05/09/2022"
"they","they",jsou,,,,"11:48 05/09/2022"
"them","them",je,,,,"11:48 05/09/2022"
"their","their",jejich,,,,"11:48 05/09/2022"
"hshort","short",krátký,,,,"11:48 05/09/2022"
"ginger","ginger hair",zrzavé vlasy,,,,"11:48 05/09/2022"
"verytall","very tall",velmi vysoký,,,,"11:48 05/09/2022"
"white","white hair",bílé vlasy,,,,"11:48 05/09/2022"
"green","green hair",zelené vlasy,,,,"11:48 05/09/2022"
"greyeyes","grey eyes",šedé oči,,,,"11:48 05/09/2022"
"veryshort","very short",velmi krátký,,,,"11:48 05/09/2022"
"grey","grey hair",šedivé vlasy,,,,"11:48 05/09/2022"
"haverage","average height",průměrná výška,,,,"11:48 05/09/2022"
"blue","blue hair",modré vlasy,,,,"11:48 05/09/2022"
"pink","pink hair",růžové vlasy,,,,"11:48 05/09/2022"
"lb","lb",lb,,,,"11:48 05/09/2022"
"muscular","muscular",svaly,,,,"11:48 05/09/2022"
"youngadult","young adult",mladý dospělý,,,,"11:48 05/09/2022"
"shoe size","shoe size",velikost obuvi,,,,"11:48 05/09/2022"
"shoe size estimate","estimate",odhad,,,,"11:48 05/09/2022"
"mr","Mr",Pan,,,,"11:48 05/09/2022"
"mx","Mx",Mx,,,,"11:48 05/09/2022"
"ms","Ms",Paní,,,,"11:48 05/09/2022"
"age","Age",Věk,,,,"11:48 05/09/2022"
"date of birth","Date of Birth",Datum narození,,,,"11:48 05/09/2022"
"gender","Gender",Pohlaví,,,,"11:48 05/09/2022"
"height","Height",Výška,,,,"11:48 05/09/2022"
"build","Build",Sestavte,,,,"11:48 05/09/2022"
"hair","Hair",Vlasy,,,,"11:48 05/09/2022"
"eyes","Eyes",Oči,,,,"11:48 05/09/2022"
"glasses","Glasses",Brýle,,,,"11:48 05/09/2022"
"yes","Yes",Ano,,,,"11:48 05/09/2022"
"facial hair","Facial Hair",Chlupy na obličeji,,,,"11:48 05/09/2022"
"blood type","Blood Type",Krevní skupina,,,,"11:48 05/09/2022"
"address","Address",Adresa,,,,"11:48 05/09/2022"
"workplace","Workplace",Pracoviště,,,,"11:48 05/09/2022"
"job title","Job Title",Název práce,,,,"11:48 05/09/2022"
"work hours","Work Hours",Pracovní doba,,,,"11:48 05/09/2022"
"salary","Salary",Plat,,,,"11:48 05/09/2022"
"additional notes","Additional Notes",Další poznámky,,,,"11:48 05/09/2022"
"no","No",Ne,,,,"11:48 05/09/2022"
"profile","Profile",Profil,,,,"11:48 05/09/2022"
"interest","Interest",Úroky,,,,"11:48 05/09/2022"
"interest-nature","Nature",Příroda,,,,"11:48 05/09/2022"
"none","None",Žádné,,,,"11:48 05/09/2022"
"partner first name","Partner first name",Křestní jméno partnera,,,,"11:48 05/09/2022"
"first name initial","First name initial",Počáteční písmeno křestního jména,,,,"11:48 05/09/2022"
"handwriting","Handwriting",Rukopis,,,,"11:48 05/09/2022"
"affliction","Affliction",Postižení,,,,"11:48 05/09/2022"
"affliction-highbloodpressure","high blood pressure",vysoký krevní tlak,,,,"11:48 05/09/2022"
