"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"health & fitness","Health & Fitness",Zdraví a fitness,,"1",,"11:49 05/09/2022"
"whole","Whole",Celé,,"1",,"11:49 05/09/2022"
"wellbeing","Wellbeing",Blahobyt,,"1",,"11:49 05/09/2022"
"total fitness","Total Fitness",Total Fitness,,"1",,"11:49 05/09/2022"
"best health","Best Health",Nejlepší zdraví,,"1",,"11:49 05/09/2022"
"vita","Vita",Vítá,,"1",,"11:49 05/09/2022"
"vital","Vital",Vítal,,"1",,"11:49 05/09/2022"
"alive","Alive",Živě,,"1",,"11:49 05/09/2022"
"stronger bodies","Stronger Bodies",Silnější těla,,"1",,"11:49 05/09/2022"
"evolve","Evolve",Vyvíjet,,"1",,"11:49 05/09/2022"
"evolution","Evolution",Evoluce,,"1",,"11:49 05/09/2022"
"adaptive","Adaptive",Adaptivní,,"1",,"11:49 05/09/2022"
"bodywork","Bodywork",Práce s tělem,,"1",,"11:49 05/09/2022"
"green","Green",Zelená,,"1",,"11:49 05/09/2022"
"invincible","Invincible",Neporazitelný,,"1",,"11:49 05/09/2022"
"harmony","Harmony",Harmonie,,"1",,"11:49 05/09/2022"
"core","Core",Jádro,,"1",,"11:49 05/09/2022"
"pulse","Pulse",Pulsní,,"1",,"11:49 05/09/2022"
"brawn","Brawn",Sval,,"1",,"11:49 05/09/2022"
"primal","Primal",Primární (en: primal),,"1",,"11:49 05/09/2022"
"peak","Peak",Vrchol,,"1",,"11:49 05/09/2022"
"flex","Flex",Ohunout,,"1",,"11:49 05/09/2022"
